"median","mean","lowerq95","upperq95","lowerquartile","upperquartile","VAF","truecounts"
25.0,24.103996020869328,14.977345385197012,34.54465248881949,19.65205628320597,27.69137552942899,0.005,0
39.0,37.84472576563736,19.119138467952798,55.39206593725066,28.275867199866752,45.34212174754914,0.015,0
75.0,74.4662411347236,54.492169041313,93.63395746645844,68.0,81.86130757670642,0.025,1
81.0,81.62416438039992,54.25738676936456,113.77813252080041,65.22923685202521,95.0,0.035,13
90.0,86.89153452869704,56.24915442634557,112.14331297036783,77.57510167058247,100.86253204147745,0.045,73
85.0,79.10771495497661,55.61498514360045,102.80535743850515,67.0933083393747,88.75854204850516,0.055,65
66.0,69.91669257345728,52.255601841177096,88.95069207375074,59.609194390452934,83.87112030515614,0.065,64
61.0,58.26672597319919,39.04847796742202,77.14598682518282,52.186062106227325,65.0,0.075,51
50.0,48.64104592424952,33.8157226607316,60.65810524363193,45.0,53.45509508300911,0.085,48
36.0,36.07008256290791,20.92244285765663,50.120126322558114,33.813596453126294,40.0,0.095,38
29.0,29.02438935841744,14.411762521654815,43.39004787197544,22.543757086581625,36.76089567369216,0.105,28
26.0,25.683518728563993,17.42614702113019,34.462365469383805,21.408602702537763,29.968649760760126,0.115,25
19.0,20.956482038156814,16.0,33.319333600842235,18.0,23.0,0.125,18
16.0,16.053593434540616,8.636565162873524,21.36004202287479,15.0,18.0,0.135,16
14.0,14.40506553684286,8.807792460088283,20.984638545925783,10.482823198596632,17.468932962519837,0.145,15
16.0,14.718145710297668,6.23646254314967,22.0,11.21213158130948,18.0,0.155,12
13.0,13.93551472887672,7.0,26.877987984382944,10.0,16.181240689484905,0.165,15
14.0,13.680142057149448,5.621796899894266,24.46906430544277,9.0,17.0,0.175,10
14.0,13.794021354374207,6.0,23.87620250043155,10.228903324236434,16.0,0.185,9
13.0,12.13197450135337,6.0,17.338553533982534,9.575805998550836,14.0,0.195,12
12.0,13.041087669387668,6.0,23.70560033404209,8.778011903660449,15.0,0.205,8
12.0,12.820523098597167,7.62961191313283,22.02041020472535,10.0,14.920276651598588,0.215,10
13.0,14.574966424538811,9.627923119295975,24.206912284199973,11.842454556647072,17.0,0.225,12
13.0,14.154044097356971,8.80987100567235,21.0,11.299222911585463,17.215755333932538,0.235,17
13.0,13.045331404128035,8.328435312134516,19.455765549221606,10.345371225609322,14.789016270975061,0.245,20
15.0,14.411912701962645,7.135514997314766,21.852129599900742,12.0,16.0,0.255,11
15.0,15.091359170840144,9.232332113675337,23.676191211274173,12.0,17.00113239386737,0.265,23
16.0,16.693942221089426,9.645117873117144,27.152198491501583,14.0,18.30476955751075,0.275,21
15.0,15.786845478401359,9.665361616504372,23.77376159964288,12.553534665337407,19.494701058913773,0.285,18
14.0,14.613639355157941,11.0,20.60116533678966,12.97450874334905,15.741043239712507,0.295,20
15.0,14.510119270020068,8.170692036158943,20.4516974896842,12.14032251768094,17.0,0.305,21
15.0,14.219169490795627,9.685194595857647,19.75878690214407,11.587215650204746,16.996036959666423,0.315,14
12.0,12.30217758446929,8.449830885269114,18.468510822271917,11.0,13.0,0.325,15
12.0,12.294690542653864,5.4498308852691135,21.53977913891622,9.0,14.832519920591794,0.335,9
11.0,11.586193004715062,5.3262887156521765,19.69348855327442,9.0,14.0,0.345,9
11.0,10.594655726407115,4.259223826265662,16.447505339785625,7.995578890062137,13.255216883546378,0.355,15
9.0,11.12621654182214,5.559569233976399,21.59477688821212,7.0,14.016205108628546,0.365,15
7.0,7.497276362321914,2.0,16.95853775053796,5.0,8.587700127183233,0.375,13
9.0,8.89061119173422,3.649107972564462,16.0,7.0,10.70900611013719,0.385,7
7.0,7.936015241332378,4.0,14.977917265424889,5.0,9.0,0.395,14
7.0,7.999716104357721,3.0,16.51560726071291,5.403573990390108,9.0,0.405,12
7.0,8.4280431363437,4.643923348738801,13.672436881782431,6.0,10.0,0.415,4
8.0,7.528037913320188,2.2974834316702784,13.601264125471426,6.2582254621524305,8.0,0.425,5
8.0,8.356176648119133,4.616226306798279,13.922408487363851,6.458629708084407,9.226237110273614,0.435,8
8.0,8.014066749746384,2.548701506555452,13.922408487363851,4.834375927510431,11.0,0.445,5
8.0,8.483515251724823,4.632397221447474,13.800632062735712,7.0,9.252633040870442,0.455,9
8.0,8.50855039385156,2.529729882156967,13.672436881782431,7.0,11.0,0.465,10
9.0,9.958495587784968,4.351637189634831,16.80063206273571,8.0,12.045524373169968,0.475,12
10.0,10.2354304302482,4.918517483807145,19.6948451373913,7.0,12.473416940847233,0.485,5
8.0,7.928153470543522,2.868603890337556,16.74579400107411,6.0,9.579508435558427,0.495,4
8.0,8.952371794656067,2.546646358573926,17.020398399724563,5.473752875038336,11.0,0.505,7
5.0,5.425309725967555,2.0,9.0,4.084018454567751,7.0,0.515,5
6.0,5.967572475769624,2.0,11.0,3.0,7.898935213348512,0.525,3
6.0,6.486633346755012,1.6845582248288316,10.0,6.0,8.0,0.535,3
5.0,4.73214602667739,1.0,8.468510822271918,3.0,6.0,0.545,2
