"median","mean","lowerq95","upperq95","lowerquartile","upperquartile","VAF","truecounts"
2.0,2.541421018319624,0.0,9.483458632076488,1.0,3.0,0.005,0
9.0,10.85374579237099,4.8196847249104176,19.203271104368444,7.0,15.858836874200685,0.015,4
24.0,23.851143021205015,11.151582389056637,40.35751880092396,18.0169400229644,29.0,0.025,25
28.0,27.98471569850312,17.055474262237613,44.8937970023099,21.701471185487648,32.0,0.035,39
26.0,27.599326249256467,17.100304777578277,42.09409456282104,22.0,32.386083067291,0.045,32
22.0,22.792744558114258,15.018545833976845,31.57000455455243,20.0,25.95242346333356,0.055,18
17.0,18.740366499393456,12.567384555393717,27.881924096361644,15.0,22.47831828365198,0.065,10
15.0,14.733784502135258,6.91131613082904,22.617189385370374,11.86740211805239,17.0,0.075,5
13.0,13.838334036438397,7.624933271973012,21.828984475481636,10.727764163466999,17.0,0.085,14
14.0,12.882790335733493,5.0,19.0,10.604742867992428,16.033088278961266,0.095,20
13.0,14.581759688889782,6.0,26.779062803331186,10.0,17.49241145369284,0.105,22
13.0,14.21315293233048,8.106191754009984,22.03498661587162,12.0,17.625624335494457,0.115,18
13.0,13.389592040798618,8.301107362694545,20.38224962096615,10.22434166046938,17.0,0.125,11
13.0,12.388481820645904,7.010401855196516,17.453617037997095,11.0,14.43280222582559,0.135,13
14.0,14.177777099564915,6.131323935578077,21.20101988580783,11.0,17.562262290842504,0.145,8
16.0,15.116248252179595,7.310423198336105,24.36241449971303,11.0,18.0,0.155,13
15.0,15.705610657084135,7.0,24.375066728026987,11.223195654051995,20.0,0.165,11
17.0,15.689901900044832,7.951796235350221,22.833240211226965,11.413471910473989,19.172395268672886,0.175,16
16.0,16.180266075721164,10.470649291210258,24.03876195384799,12.764146050579338,19.0,0.185,12
15.0,15.279500951154876,11.0,21.173842535417894,12.508257916617623,17.45449827121838,0.195,22
14.0,13.261010259306776,5.6218205077548085,18.777008226368242,12.0,15.494005319612661,0.205,19
11.0,11.248467639155534,3.4094479801163913,18.0,9.0,14.838803668210764,0.215,16
8.0,8.508604337975228,1.3074107099033472,17.0,5.638058151790384,11.0,0.225,9
6.0,5.986028012307312,1.0,11.524982155029612,4.0,9.0,0.235,8
4.0,4.541160587136215,0.9649997248347597,9.675777135915665,3.0,6.0,0.245,2
3.0,3.482200769234947,1.0,7.224923805605429,2.303131084213718,5.0,0.255,3
3.0,3.117116013875614,1.0,6.0,2.0,4.0,0.265,5
3.0,3.382439038107163,1.0,7.0,2.0,4.0,0.275,0
4.0,4.736329868073151,2.7592262998541566,8.0,3.0,6.0,0.285,2
7.0,7.512135123835635,1.8159720447513923,12.641130727938894,5.0,11.0,0.295,6
9.0,9.541513550251054,6.0,13.258793032724038,8.448574088353492,11.0,0.305,10
14.0,14.581096501236095,8.108584367710455,19.674963021477552,12.0,18.0,0.315,10
15.0,15.8854360839949,11.421432755048714,21.38365808174493,14.0,18.0,0.325,13
22.0,23.564815177696364,16.664077836975277,35.73404785001258,20.0,26.004989589471492,0.335,20
23.0,23.23621164943665,16.265787953365965,32.74025809670386,21.16725965855602,24.618297228474123,0.345,38
27.0,25.954042223043853,19.0,33.85504339355873,23.023072185253177,28.0,0.355,27
24.0,25.043340368018683,16.65231492916422,33.12183317112649,22.0,28.89721335842462,0.365,24
21.0,20.542555296092104,14.0,27.570937413378243,16.467018237556875,24.292908852577046,0.375,19
19.0,19.67671912328707,11.862250766640917,26.558469416549535,16.55769490990898,24.0,0.385,20
13.0,13.704864877393376,10.312587571409226,18.97567831868194,12.0,15.005838091918612,0.395,11
9.0,8.957059784845159,4.5192217669146455,12.520509124438947,7.859235709452143,11.0,0.405,14
5.0,5.393334682979519,2.0,11.0,4.0,6.0,0.415,3
4.0,3.4717548867101073,1.0,6.257758599704095,2.442715888006897,4.081648872920791,0.425,1
2.0,2.6779056455941745,0.0,7.0,2.0,4.0,0.435,2
1.0,1.5560774206536296,0.0,3.5663151070746073,1.0,2.0,0.445,1
0.0,0.6911607730899306,0.0,3.3427001229160895,0.0,1.0,0.455,1
0.0,0.23284940169052304,0.0,1.0,0.0,0.15825936775241156,0.465,0
0.0,0.18191456426613073,0.0,1.0,0.0,0.0,0.475,0
0.0,0.07247046749844449,0.0,1.0,0.0,0.0,0.485,0
0.0,0.0,0.0,0.0,0.0,0.0,0.495,0
0.0,0.0,0.0,0.0,0.0,0.0,0.505,0
0.0,0.030089291387197854,0.0,0.26883689287644635,0.0,0.0,0.515,0
0.0,0.0,0.0,0.0,0.0,0.0,0.525,1
0.0,0.0,0.0,0.0,0.0,0.0,0.535,0
0.0,0.0,0.0,0.0,0.0,0.0,0.545,1
0.0,0.0,0.0,0.0,0.0,0.0,0.555,0
0.0,0.0,0.0,0.0,0.0,0.0,0.565,0
0.0,0.0,0.0,0.0,0.0,0.0,0.575,0
0.0,0.0,0.0,0.0,0.0,0.0,0.585,0
0.0,0.0,0.0,0.0,0.0,0.0,0.595,0
0.0,0.0,0.0,0.0,0.0,0.0,0.605,0
0.0,0.0,0.0,0.0,0.0,0.0,0.615,0
0.0,0.0,0.0,0.0,0.0,0.0,0.625,0
0.0,0.0,0.0,0.0,0.0,0.0,0.635,1
0.0,0.0,0.0,0.0,0.0,0.0,0.645,0
0.0,0.0,0.0,0.0,0.0,0.0,0.655,0
0.0,0.0,0.0,0.0,0.0,0.0,0.665,0
0.0,0.0,0.0,0.0,0.0,0.0,0.675,0
