"median","mean","lowerq95","upperq95","lowerquartile","upperquartile","VAF","truecounts"
78.0,77.20420261393797,37.5869682178859,111.00642535701154,66.45886571914845,89.0,0.005,69
158.0,158.00616458684942,106.52719438130032,201.6769947973247,136.3598918345536,178.42797746246254,0.015,152
132.0,132.94931666049558,107.26966693785344,166.61462697353105,123.0,140.45800477580013,0.025,112
87.0,85.59763366421663,58.62752278834406,115.8141482421701,73.45325118270075,96.07303390157988,0.035,87
57.0,58.53277759856184,39.9841463175644,87.25659673247878,51.38401741881547,62.0,0.045,66
43.0,42.777991603389246,26.346295429563128,58.46200931680652,37.0,47.23511364503416,0.055,44
34.0,34.52670180770569,20.98493473150701,48.99216426763787,29.0,40.48260227732833,0.065,43
27.0,26.657838551102603,11.0,43.0,20.0,32.59831673125236,0.075,35
20.0,20.605962899429144,10.0,36.35760783816036,16.31094296535328,24.0,0.085,18
15.0,15.827567205942326,7.603512543246508,27.292199481444833,12.0,19.099077627257362,0.095,12
12.0,11.999043392764369,3.298825752055684,23.888797131625203,8.0,15.0,0.105,10
9.0,8.706694178671263,2.1872359529357155,16.728524945010932,5.1621746401126085,11.0,0.115,8
6.0,6.604235626581292,1.0,15.66224612264399,4.0,8.009688061547774,0.125,20
6.0,6.449054467352895,0.40543896687052755,15.516151342604024,3.0,9.0,0.135,10
7.0,7.409543830473398,1.365412081941288,17.47242078448865,4.0,9.0,0.145,8
9.0,9.403577069089277,1.0371282307258252,21.681773361790995,5.0,12.0,0.155,10
12.0,12.611297604358931,1.855860002298122,26.313918102080482,8.0,16.664719053873316,0.165,5
16.0,15.095929669463077,4.0,27.0,9.710335366953021,20.0,0.175,10
17.0,17.051154752401036,6.774458802347363,30.047471015631544,12.0,21.44055379496203,0.185,16
18.0,19.3293001150293,9.0,31.247821035218312,14.0,25.0,0.195,12
18.0,18.981115350492093,7.272538494976648,36.0,14.0,23.0,0.205,19
18.0,18.01723413240309,5.43701260390077,32.0,12.0,25.0,0.215,23
11.0,13.320702822023804,3.0,30.576908058647202,7.6929993352593256,18.0,0.225,18
10.0,10.91399403793094,1.1033334125527963,24.0,4.955249146482611,17.0,0.235,17
7.0,7.842710563890842,1.2037488848828717,19.254287222264118,4.0,10.471338099387673,0.245,8
6.0,6.608177162857981,1.0,18.08044128652385,4.0,9.0,0.255,4
4.0,5.610490239556858,1.0,16.268159528725718,3.0,8.0,0.265,5
6.0,5.712790961955442,1.0,10.854676698959471,3.2911992670102355,7.399233449628019,0.275,4
8.0,8.23559804790116,3.0,15.803627991664515,6.0,10.0,0.285,7
12.0,12.899825175335423,5.62086758958206,20.29292636148644,10.0,16.0,0.295,10
20.0,19.88212711464096,6.22373156651092,34.0,16.0,23.0,0.305,15
30.0,30.71991157692532,18.376835008190607,45.0,25.0,36.42563005065958,0.315,35
38.0,38.02753354811474,25.0,55.66878840455765,31.0,44.0,0.325,39
42.0,41.91986504581858,29.271821218061792,54.0,38.0,46.0,0.335,50
43.0,45.03521230921853,32.33891131724574,57.15368324473523,40.93369607748423,49.47103558213052,0.345,41
38.0,38.81798623188023,29.577149933246336,50.10841144236221,34.37514845636828,43.0,0.355,40
33.0,32.3749355785241,20.167158085697494,46.0,27.676498096976477,36.0,0.365,28
