"median","mean","lowerq","upperq","lowerquartile","upperquartile","sd"
1.0,1.108974358974359,0.0,4.0,0.0,2.0,1.194469610727371
4.0,4.2756410256410255,0.0,12.0,2.0,6.0,3.051332269467412
13.0,14.76923076923077,4.0,33.125,9.75,19.0,7.346578008619018
25.0,26.378205128205128,9.875,51.375,18.0,33.0,10.89856039544374
38.0,39.62820512820513,16.75,68.25,28.75,52.0,14.309580796239372
44.5,45.28846153846154,18.875,75.0,34.75,54.25,14.910489754352142
43.5,44.09615384615385,23.75,69.125,34.0,52.5,13.550278581187605
39.0,39.73076923076923,18.0,60.625,32.75,48.0,11.267621985624036
33.0,32.68589743589744,17.875,53.0,26.0,39.0,9.170643546686376
26.0,27.102564102564102,12.875,44.0,22.0,32.0,8.295493908708073
21.0,21.358974358974358,10.0,35.125,17.0,26.0,6.675858014637246
19.0,19.28205128205128,7.0,33.375,15.0,24.0,6.806822831205293
14.0,14.788461538461538,6.0,26.0,11.0,18.0,5.427539828099647
13.0,13.532051282051283,4.0,24.0,9.75,17.0,5.231936509177349
11.5,11.705128205128204,2.0,21.125,8.0,15.0,5.2697774314486745
10.0,10.083333333333334,2.875,19.125,7.0,13.0,4.5507295882030006
9.0,9.493589743589743,1.875,19.125,6.0,13.0,4.581163107519814
9.0,8.89102564102564,2.0,18.125,5.75,12.0,4.327815090481899
8.0,8.48076923076923,1.0,19.125,5.0,11.0,4.756620044020351
6.0,7.384615384615385,1.0,18.125,4.0,10.0,4.666229448973921
6.0,7.262820512820513,1.0,17.125,4.0,9.25,4.3568443440802715
6.0,6.865384615384615,0.0,17.0,4.0,9.25,4.538134530003155
6.0,6.628205128205129,0.0,16.125,3.0,9.0,4.1226642633882635
5.0,6.108974358974359,0.0,14.125,3.0,8.25,3.831236165283606
6.0,5.980769230769231,1.0,13.0,3.0,8.0,3.2636238592688778
5.0,5.782051282051282,1.0,14.0,3.0,7.0,3.49431773172624
5.0,5.628205128205129,1.0,13.0,3.0,8.0,3.337408592379673
5.0,5.5,0.0,12.0,3.0,8.0,3.1816003276906564
4.0,4.903846153846154,0.0,12.125,2.0,7.0,3.234449339689427
4.0,4.852564102564102,0.0,12.0,3.0,6.0,3.2044414483439
4.0,4.57051282051282,0.0,12.0,2.0,6.0,3.2271273143556596
4.0,4.583333333333333,0.0,12.0,2.0,7.0,3.373441495992144
3.0,3.5833333333333335,0.0,11.0,1.0,6.0,3.0542584408749556
4.0,4.4743589743589745,0.0,13.125,2.0,6.25,3.4890588766169577
4.0,4.455128205128205,0.0,12.125,2.0,6.0,3.587330661338592
4.0,4.891025641025641,0.0,14.125,2.0,7.0,3.5606699586141124
5.0,5.897435897435898,0.0,17.0,2.0,8.0,4.405538284535672
6.0,6.711538461538462,0.0,16.125,3.0,10.0,4.41114368226744
8.0,9.378205128205128,0.875,24.125,5.0,12.25,5.777981507934933
10.0,11.60897435897436,2.0,26.125,6.0,17.0,7.12793117336591
14.0,14.724358974358974,3.0,29.0,8.0,20.25,7.5933533906612904
17.0,17.83974358974359,3.875,36.0,11.5,24.0,8.603447767158041
20.0,20.25,6.0,34.125,15.0,26.0,7.65685440339822
22.5,22.512820512820515,8.0,35.25,17.75,28.0,7.329557641439858
25.0,24.615384615384617,11.875,36.0,21.0,29.0,6.605434261772686
26.0,25.576923076923077,14.0,38.0,21.75,30.25,6.120339924713712
24.0,24.26923076923077,14.0,35.125,20.0,28.0,5.646975957889551
23.0,22.78205128205128,11.0,35.0,19.0,26.25,6.456099763184579
20.0,20.455128205128204,7.875,35.125,15.0,25.0,7.037542595956988
17.0,16.512820512820515,5.875,28.125,11.75,21.0,6.325052267525649
14.0,13.83974358974359,2.0,26.125,8.0,19.0,7.036766848188527
9.0,10.307692307692308,2.0,25.25,5.0,14.0,6.185952227650901
7.0,7.301282051282051,0.0,18.0,3.0,11.0,4.729345411699131
5.0,5.705128205128205,0.0,17.0,2.0,8.0,4.436240705412707
2.0,3.4423076923076925,0.0,12.0,1.0,5.0,3.288769521079145
1.0,2.1794871794871793,0.0,7.0,0.0,3.25,2.2273582775585905
1.0,1.3974358974358974,0.0,6.0,0.0,2.0,1.7401501128406112
0.0,0.782051282051282,0.0,4.0,0.0,1.0,1.148883731981287
0.0,0.41025641025641024,0.0,2.0,0.0,1.0,0.8021888995765301
0.0,0.23717948717948717,0.0,2.0,0.0,0.0,0.6233331785229138
0.0,0.1346153846153846,0.0,1.0,0.0,0.0,0.3782223012741867
0.0,0.02564102564102564,0.0,0.125,0.0,0.0,0.1585709548605697
0.0,0.00641025641025641,0.0,0.0,0.0,0.0,0.08006407690254366
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.01282051282051282,0.0,0.0,0.0,0.0,0.11286186173625709
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
